FirstName,LastName,Id,Email,Subject,Code,Semester,Grade
Edgar,Sanchez,40228000,Edgar.Sanchez@mail.concordia.ca,COMP,6741,Fall 2023,B
Sushant,Sharma,40227986,Sushant.Sharma@mail.concordia.ca,COMP,6741,Winter 2022,F
Sushant,Sharma,40227986,Sushant.Sharma@mail.concordia.ca,COMP,6741,Winter 2023,C
Sushant,Sharma,40227986,Sushant.Sharma@mail.concordia.ca,SOEN,6431,Fall 2023,F
Sushant,Sharma,40227986,Sushant.Sharma@mail.concordia.ca,SOEN,6431,Winter 2023,B+
Sharanyu,Pillai,40227985,Sharanyu.Pillai@mail.concordia.ca,COMP,6741,Fall 2023,A
Sharanyu,Pillai,40227985,Sharanyu.Pillai@mail.concordia.ca,COMP,6741,Winter 2022,F
Rochelle,Johnson,40227992,Rochelle.Johnson@mail.concordia.ca,COMP,6741,Winter 2022,F
Maja,Nicholson,40227997,Maja.Nicholson@mail.concordia.ca,COMP,6741,Fall 2023,B+
Brittany,Sath,40228002,Brittany.Sath@mail.concordia.ca,COMP,6741,Fall 2023,F
Brittany,Sath,40228002,Brittany.Sath@mail.concordia.ca,COMP,6741,Fall 2024,F
Brittany,Sath,40228002,Brittany.Sath@mail.concordia.ca,COMP,6741,Winter 2024,B
Joshua,Lonaker,40227988,Joshua.Lonaker@mail.concordia.ca,COMP,6741,Fall 2023,B
Rochelle,Johnson,40227992,Rochelle.Johnson@mail.concordia.ca,SOEN,6431,Fall 2023,C
Preston,Suarez,40227994,Preston.Suarez@mail.concordia.ca,SOEN,6431,Fall 2023,A
Preston,Suarez,40227994,Preston.Suarez@mail.concordia.ca,SOEN,6431,Winter 2022,F
Natasha,Yarusso,40227990,Natasha.Yarusso@mail.concordia.ca,SOEN,6431,Fall 2023,F
Natasha,Yarusso,40227990,Natasha.Yarusso@mail.concordia.ca,SOEN,6431,Winter 2023,A
Maja,Nicholson,40227997,Maja.Nicholson@mail.concordia.ca,SOEN,6431,Winter 2023,B+
Joshua,Lonaker,40227988,Joshua.Lonaker@mail.concordia.ca,SOEN,6431,Winter 2022,A
Maa'iz,al-Dia,40227996,Maa'iz.al-Dia@mail.concordia.ca,SOEN,6431,Summer 2023,B
